,first_observation,missing_returns,zero_return_share,annualised_volatility
ABI.BR,2013-01-02,0,0.01077752117013087,0.2763190283088489
INGA.AS,2013-01-02,0,0.00962278675904542,0.3383732220453591
ISP.MI,2013-01-02,0,0.023479599692070825,0.34097953534015085
ITX.MC,2013-01-02,0,0.016166281755196306,0.26052069687266705
LVMH.PA,2013-01-02,0,0.011162432640492687,0.26425389177267883
MBGn.DE,2013-01-02,0,0.015011547344110854,0.315051199194488
MUVGn.DE,2013-01-02,0,0.02270977675134719,0.2387082039555908
NDAFI.HE,2013-01-02,0,0.03579676674364896,0.26547856953645244
NOKIA.HE,2013-01-02,0,0.03464203233256351,0.35994362187730633
OREP.PA,2013-01-02,0,0.01308698999230177,0.2197125389339751
IFXGn.DE,2013-01-02,0,0.01924557351809084,0.3483602733390888
PERP.PA,2013-01-02,0,0.016166281755196306,0.20249020371937446
SAF.PA,2013-01-02,0,0.006543494996150885,0.32614765558529074
SAN.MC,2013-01-02,0,0.006158583525789068,0.33758679981242745
SAPG.DE,2013-01-02,0,0.018475750577367205,0.23922767575862555
SASY.PA,2013-01-02,0,0.009237875288683603,0.2210461967197283
SCHN.PA,2013-01-02,0,0.006543494996150885,0.26778851240002377
SGEF.PA,2013-01-02,0,0.00962278675904542,0.2629485644939052
SIEGn.DE,2013-01-02,0,0.018475750577367205,0.2602454099732028
STLAM.MI,2013-01-02,0,0.016936104695919937,0.40392420646369886
TTEF.PA,2013-01-02,0,0.005773672055427252,0.2729996979234824
PRTP.PA,2013-01-02,0,0.008468052347959968,0.29534134234476667
HRMS.PA,2013-01-02,0,0.01308698999230177,0.2334935629797981
IBE.MC,2013-01-02,0,0.013471901462663588,0.20797776415659774
BBVA.MC,2013-01-02,0,0.007313317936874519,0.3315774305605789
AD.AS,2013-01-02,0,0.01308698999230177,0.21551272940214597
ADSGn.DE,2013-01-02,0,0.020015396458814474,0.30438144468536815
AIR.PA,2013-01-02,0,0.006543494996150885,0.3545836832234915
AIRP.PA,2013-01-02,0,0.01424172440338722,0.20342440672471307
ALVG.DE,2013-01-02,0,0.025404157043879907,0.23694288303582917
ASML.AS,2013-01-02,0,0.008468052347959968,0.31131072613720334
AXAF.PA,2013-01-02,0,0.00962278675904542,0.2732113513781526
BASFn.DE,2013-01-02,0,0.015396458814472672,0.26499028112486395
BAYGn.DE,2013-01-02,0,0.021170130869899922,0.28201143618144
FLTRF.I,2013-01-02,0,0.02270977675134719,0.33300719841607596
VOWG_p.DE,2013-01-02,0,0.019630484988452657,0.34468655807654536
BNPP.PA,2013-01-02,0,0.005773672055427252,0.318820741704358
CRH.I,2013-01-02,0,0.017321016166281754,0.2930863030883183
DANO.PA,2013-01-02,0,0.011162432640492687,0.2016737699298479
DB1Gn.DE,2013-01-02,0,0.021939953810623556,0.22691842033158702
DPWGn.DE,2013-01-02,0,0.018090839107005388,0.256099092395457
DTEGn.DE,2013-01-02,0,0.024634334103156273,0.21620659480317767
ENEI.MI,2013-01-02,0,0.020785219399538105,0.2617350275047828
ENI.MI,2013-01-02,0,0.025404157043879907,0.2787609000909319
ESLX.PA,2013-01-02,0,0.012317167051578136,0.24638925562135205
BMWG.DE,2013-01-02,0,0.016551193225558123,0.27491262921642484
VNAn.DE,2013-07-11,134,0.02270977675134719,0.2540952809518741
LINI.DE,2017-11-24,1257,0.00962278675904542,0.26638362732433035
ADYEN.AS,2018-06-13,1395,0.0026943802925327174,0.4511426442737764
PRX.AS,2019-09-11,1714,0.0007698229407236335,0.45196358316336427
