strategy,gross_sharpe,sharpe_ratio,annualised_return,annualised_volatility,max_drawdown,annualised_turnover,cost_drag,average_gross_exposure
paper,0.9104723087316731,0.19711709500151153,0.007832681412783815,0.04462778826614961,-0.10436619843940598,63.709285496809144,0.03185464274840457,0.9817884556893031
no factor hedge,0.8701885548724834,0.46351175081663326,0.02429728229920225,0.05506395714717843,-0.10568326925533766,44.76598465473146,0.022382992327365733,0.8309676044330776
no centring of m,0.6714098957900536,-0.04108893089150685,-0.00281376392791588,0.044502154093873564,-0.1209707600283012,63.45459351684792,0.031727296758423965,0.9757718491958614
modified s-score,0.5562016758101135,-0.15745441965491017,-0.007817686353232545,0.043766020427930985,-0.1480602379676017,62.45743660851497,0.031228718304257483,1.0753186765506626
symmetric exits (0.50),0.7554245843238738,0.10212859956704683,0.003661763790299366,0.046249435458777924,-0.11418933304577161,60.459130710299945,0.030229565355149972,1.052400564987898
execution lag 2,0.738007090318969,0.029877529859129996,0.0003340393246646922,0.04495386528210256,-0.11935119158231866,63.71354239970356,0.03185677119985178,0.9818055223243517
equal gross 100%,1.0235315200163408,0.2164016743155763,0.008812551067323815,0.04527397221656233,-0.10058390440731935,73.18255232198831,0.036591276160994154,1.0013138808520032
no AR(1) bound,0.9034541281085822,0.1815820737593443,0.007139365015089494,0.04466260561041897,-0.10523036799672902,64.52629374016001,0.03226314687008001,0.9844038958595676
Kendall bias correction,0.1481776435951639,-0.6504332573948101,-0.016223145531768512,0.02467769760161372,-0.171899447535952,39.408692489834095,0.01970434624491705,0.43685551032596753
no no-trade band,0.8212763720901889,-0.043135455260614575,-0.002908665583927439,0.04454909262242561,-0.1303526279405467,77.06144181218053,0.03853072090609027,0.9807567321629781
