strategy,gross_sharpe,sharpe_ratio,annualised_return,annualised_volatility,max_drawdown,annualised_turnover,cost_drag,average_gross_exposure
"hedged, 0 bps",0.9104723087316731,0.9104723087316731,0.04044970129323833,0.04464885130268253,-0.08249082267646668,63.709285496809144,0.0,0.9817884556893031
"hedged, 1 bps",0.9104723087316731,0.7678941429591636,0.033843360927545696,0.044642369644838725,-0.08390470884851375,63.709285496809144,0.006370928549680915,0.9817884556893031
"hedged, 2 bps",0.9104723087316731,0.6252586818179003,0.02727875015655945,0.04463702214779815,-0.08536681504051713,63.709285496809144,0.01274185709936183,0.9817884556893031
"hedged, 5 bps",0.9104723087316731,0.19711709500151153,0.007832681412783815,0.04462778826614961,-0.10436619843940598,63.709285496809144,0.03185464274840457,0.9817884556893031
"hedged, 10 bps",0.9104723087316731,-0.5165831680351218,-0.023766995155591553,0.04463510272071226,-0.2684434047446347,63.709285496809144,0.06370928549680914,0.9817884556893031
"unhedged, 0 bps",0.8701885548724834,0.8701885548724834,0.0474801955272397,0.055052187532581995,-0.09077635397947381,44.76598465473146,0.0,0.8309676044330776
"unhedged, 1 bps",0.8701885548724834,0.7888534552538018,0.04280223491388746,0.05505355241437162,-0.0937773334392239,44.76598465473146,0.004476598465473146,0.8309676044330776
"unhedged, 2 bps",0.8701885548724834,0.7075160325765144,0.038145054904037856,0.055055411873493686,-0.09676848279296069,44.76598465473146,0.008953196930946292,0.8309676044330776
"unhedged, 5 bps",0.8701885548724834,0.46351175081663326,0.02429728229920225,0.05506395714717843,-0.10568326925533766,44.76598465473146,0.022382992327365733,0.8309676044330776
"unhedged, 10 bps",0.8701885548724834,0.05699597183288785,0.0016247823072965684,0.0550880835231814,-0.12886539466434344,44.76598465473146,0.044765984654731465,0.8309676044330776
